,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Region,Local Government Area,Residential ,,,,,,Solar ,,,,,"Non-residential small-medium sites
(0-160 MWh pa)",,"Non-residential large sites
(>160 MWh pa)",,Unmetered supply (eg. street lighting),,,,,,
,,Daily average (kWh per customer per day),MWh,,,Customer Numbers,,Number of solar customers,,Generation capacity (kWp),,Energy exported to the grid (MWh),MWh,Number of Customers,MWh,Number of Customers,Total (MWh),,,,,,
,,,General Supply ,Off Peak Hot Water,Total,Off Peak ,Total ,Res,Non-Res,"Res
 (kWp)",Non-Res (kWp),,,,,,,,,,,,
,Sub-total (Low Voltage),14.9," 5,579,637 "," 520,389 "," 6,100,026 "," 248,281 "," 1,150,777 "," 88,824 "," 4,281 "," 413,879 "," 115,671 "," 263,548 "," 2,498,776 "," 128,542 "," 5,668,351 "," 8,804 "," 81,821 ",,,,,,
,Non-Res (High Voltage),,,,,,,,,,,,,," 3,119,795 ", 267 ,,,,,,,
Central Coast and Hunter LGAs,CENTRAL COAST*,16.5," 749,994 "," 175,439 "," 925,433 "," 80,849 "," 153,586 "," 27,926 ", 866 ," 129,951 "," 25,729 "," 94,070 "," 208,283 "," 12,158 "," 507,257 ", 710 ," 12,061 ",,,,,,
,CESSNOCK,18.0," 145,062 "," 22,340 "," 167,403 "," 10,649 "," 25,467 "," 6,119 ", 269 ," 34,437 "," 11,315 "," 32,557 "," 38,709 "," 1,843 "," 73,069 ", 135 ," 1,788 ",,,,,,
,LAKE MACQUARIE,16.9," 433,831 "," 106,993 "," 540,824 "," 53,161 "," 87,604 "," 19,815 ", 539 ," 96,356 "," 12,552 "," 71,404 "," 118,245 "," 6,796 "," 189,172 ", 392 ," 5,388 ",,,,,,
,MAITLAND,16.8," 186,156 "," 27,389 "," 213,546 "," 13,032 "," 34,800 "," 8,541 ", 268 ," 46,886 "," 8,038 "," 36,535 "," 59,162 "," 2,960 "," 91,107 ", 171 ," 3,476 ",,,,,,
,MUSWELLBROOK,20.2," 43,568 "," 10,160 "," 53,728 "," 4,443 "," 7,289 "," 1,306 ", 94 ," 7,704 "," 1,825 "," 6,401 "," 28,307 "," 1,347 "," 19,973 ", 52 , 905 ,,,,,,
,NEWCASTLE,13.7," 311,806 "," 53,494 "," 365,300 "," 29,694 "," 73,208 "," 11,139 ", 561 ," 49,787 "," 20,393 "," 46,487 "," 156,676 "," 8,036 "," 263,850 ", 515 ," 6,591 ",,,,,,
,PORT STEPHENS,16.9," 169,998 "," 46,769 "," 216,767 "," 23,513 "," 35,108 "," 8,151 ", 245 ," 40,727 "," 5,936 "," 31,131 "," 53,078 "," 2,986 "," 89,790 ", 194 ," 1,911 ",,,,,,
,SINGLETON,21.5," 64,191 "," 13,978 "," 78,169 "," 6,088 "," 9,977 "," 2,447 ", 144 ," 15,021 "," 5,562 "," 12,941 "," 27,270 "," 1,677 "," 32,676 ", 92 , 648 ,,,,,,
,UPPER HUNTER,20.1," 34,745 "," 7,855 "," 42,600 "," 3,524 "," 5,799 "," 1,143 ", 109 ," 6,751 "," 1,869 "," 5,987 "," 20,683 "," 1,251 "," 8,937 ", 27 , 576 ,,,,,,
,Sub-total (Low Voltage),17.8," 2,139,350 "," 464,418 "," 2,603,769 "," 224,953 "," 432,837 "," 86,587 "," 3,095 "," 427,620 "," 93,219 "," 337,513 "," 710,411 "," 39,053 "," 1,275,832 "," 2,288 "," 33,344 ",,,,,,
,Non-Res (High Voltage),,,,,,,,,,,,,," 2,343,712 ", 185 ,,,,,,,
Not assigned,,, 794 , 109 , 903 , 38 , 108 ,,,,, 31 ," 1,639 ", 63 ," 2,191 ", 8 ," 69,804 ",,,,,,
Total,,15.1," 7,719,782 "," 984,916 "," 8,704,698 "," 473,273 "," 1,583,723 "," 175,411 "," 7,376 "," 841,499 "," 208,890 "," 601,092 "," 3,210,826 "," 167,658 "," 12,409,881 "," 11,551 "," 184,969 ",,,,,,
Council boundaries and amalgamations,,,,,,,,,,,,,,,,,,,,,,,
*During 2016-17 some local councils were amalgamated or changed boundaries including; ,,,,,,,,,,,,,,,,,,,,,,,
a) Auburn council was amalgamated into either Cumberland or Parramatta LGAs ,,,,,,,,,,,,,,,,,,,,,,,
"b) Amalgamation of previous councils into: Bayside, Canterbury-Bankstown, Central Coast, Georges River, Inner West and Northern Beaches",,,,,,,,,,,,,,,,,,,,,,,
c) Part of Hornsby was amalgamated into Parramatta Council,,,,,,,,,,,,,,,,,,,,,,,
**Customers in the Cumberland and Parramatta councils are served by Ausgrid or Endeavour Energy depending on their specific location. This report only includes those customers in Ausgrid's network area,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Electricity usage notes,,,,,,,,,,,,,,,,,,,,,,,
"1. Electricity use data is for the 2020-21 financial year is based on network bills issued up until December 2021 for homes, businesses and other customers in our network area.",,,,,,,,,,,,,,,,,,,,,,,
2. Electricity use data for all metered low voltage customers has been split into four categories:,,,,,,,,,,,,,,,,,,,,,,,
i) 'General Supply' refers to electricity used from the grid in residential properties excluding controlled load (off peak) hot water.,,,,,,,,,,,,,,,,,,,,,,,
ii) 'Off peak hot water' refers primarily to controlled load residential usage primarily from storage hot water systems.,,,,,,,,,,,,,,,,,,,,,,,
iii) 'Non-residential small-medium sites' refers to non-residential customers supplied at low voltage with annual usage from the grid typically less than 160 MWh per year as determined from network tariff assignment,,,,,,,,,,,,,,,,,,,,,,,
iv) 'Non-residential large sites' refer to non-residential customers supplied at low voltage with annual usage from the grid typically greater than 160 MWh per year as determned from network tariff assignment,,,,,,,,,,,,,,,,,,,,,,,
"3. Unmetered supply consumption is for the street lighting for each local council, with other unmetered supplies allocated to ""Not assigned"" (eg. major road and other unmetered supplies)",,,,,,,,,,,,,,,,,,,,,,,
"4. ""Not assigned"" customers are customers outside the 32 Local Government Areas listed",,,,,,,,,,,,,,,,,,,,,,,
"5. ""High voltage customers"" are large non-residential customers connected at 11 kV or greater (eg. large industry, mining, transport infrastructure, utility infrastructure, some large universities and hospitals).",,,,,,,,,,,,,,,,,,,,,,,
Note: We have chosen not to release the information for high voltage customers by LGA due to confidentiality concerns,,,,,,,,,,,,,,,,,,,,,,,
6. Customer numbers are the average number of customers over the financial year.,,,,,,,,,,,,,,,,,,,,,,,
7. Solar energy generation is the total electricity exported to the grid from small solar power systems as recorded by electricity meters. The total includes electricity exported from both gross and net metered solar power systems. ,,,,,,,,,,,,,,,,,,,,,,,
Note: this total does not include the solar power used directly within homes with a net metering arrangement.,,,,,,,,,,,,,,,,,,,,,,,
8. Number of solar customers and solar panel capacity are figures recorded as connected by Ausgrid as at 30 June 2021 and information is derived from customer connection applications for embedded generation systems. ,,,,,,,,,,,,,,,,,,,,,,,
9. Year to year changes are strongly influenced by weather and other factors such as the COVID pandemic effects on business energy consumption.  Data has not been corrected for weather variations or other factors.,,,,,,,,,,,,,,,,,,,,,,,
10. Data should be used with caution when comparing with ABS data or other external data sources.  Contact Ausgrid for assistance in interpreting data.,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
For further information please email: sharinginformation@ausgrid.com.au,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
