,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Local Government Area,Residential ,,,,,,Solar ,,,,,"Non-residential small-medium sites
(0-160 MWh pa)",,"Non-residential large sites
(>160 MWh pa)",,Unmetered supply (eg. street lighting)
,Daily average (kWh per customer per day),MWh,,,Customer Numbers,,Number of solar customers,,Generation capacity (kWp),,Energy exported to the grid (MWh),MWh,Number of Customers,MWh,Number of Customers,Total (MWh)
,,General Supply ,Off Peak Hot Water,Total,Off Peak ,Total ,Res,Non-Res,"Res
 (kWp)",Non-Res (kWp),,,,,,
STRATHFIELD,14.4," 77,487 "," 4,522 "," 82,009 "," 2,328 "," 15,573 ", 681 , 48 ," 2,152 "," 2,920 "," 1,361 "," 39,781 "," 1,554 "," 120,073 ", 183 ," 1,593 "
SUTHERLAND,19.1," 500,922 "," 108,320 "," 609,242 "," 43,177 "," 87,435 "," 6,699 ", 232 ," 21,341 "," 4,211 "," 13,989 "," 143,840 "," 7,632 "," 238,533 ", 376 ," 8,039 "
SYDNEY,10.1," 401,651 "," 9,322 "," 410,973 "," 5,077 "," 111,113 ", 869 , 643 ," 2,423 "," 9,116 "," 2,107 "," 754,052 "," 31,471 "," 2,252,948 "," 3,054 "," 10,356 "
UPPER HUNTER,21.5," 36,721 "," 7,979 "," 44,700 "," 3,537 "," 5,705 ", 703 , 83 ," 3,008 "," 1,301 "," 2,531 "," 29,607 "," 1,254 "," 13,639 ", 42 , 570 
WAVERLEY,13.1," 157,750 "," 5,436 "," 163,185 "," 3,411 "," 34,243 ", 817 , 61 ," 2,615 ", 699 ," 1,794 "," 54,996 "," 2,734 "," 115,471 ", 169 ," 1,921 "
WILLOUGHBY,14.9," 159,527 "," 8,877 "," 168,404 "," 4,971 "," 30,939 "," 1,523 ", 115 ," 4,861 "," 1,630 "," 3,153 "," 117,561 "," 4,968 "," 285,068 ", 380 ," 2,517 "
WOOLLAHRA,18.9," 183,338 "," 8,500 "," 191,838 "," 4,150 "," 27,775 ", 524 , 50 ," 2,228 ", 504 ," 1,141 "," 56,088 "," 2,924 "," 53,815 ", 123 ," 3,142 "
Not assigned,," 1,010 ", 115 ," 1,125 ", 46 , 201 , 14 , 2 , 37 , 49 , 25 , 602 , 53 , 431 , 3 ," 55,716 "
High voltage customers,,,,,,,,,,,,,," 5,343,319 ", 404 ,
Total,15.2," 7,531,631 "," 1,014,707 "," 8,546,338 "," 487,222 "," 1,540,580 "," 110,441 "," 5,653 "," 340,851 "," 107,831 "," 239,651 "," 3,524,751 "," 165,354 "," 13,181,901 "," 12,618 "," 195,838 "
Council boundaries and amalgamations,,,,,,,,,,,,,,,,
*During 2016-17 some local councils were amalgamated or changed boundaries including; ,,,,,,,,,,,,,,,,
a) Auburn council was amalgamated into either Cumberland or Parramatta LGAs ,,,,,,,,,,,,,,,,
"b) Amalgamation of previous councils into: Bayside, Canterbury-Bankstown, Central Coast, Georges River, Inner West and Northern Beaches",,,,,,,,,,,,,,,,
c) Part of Hornsby was amalgamated into Parramatta Council,,,,,,,,,,,,,,,,
**Customers in the Cumberland and Parramatta councils are served by Ausgrid or Endeavour Energy depending on their specific location. This report only includes those customers in Ausgrid's network area,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Electricity usage notes,,,,,,,,,,,,,,,,
"1. Electricity use data is for the 2017-18 financial year is based on network bills issued up until December 2018 for homes, businesses and other customers in our network area.",,,,,,,,,,,,,,,,
2. Electricity use data for all metered low voltage customers has been split into four categories:,,,,,,,,,,,,,,,,
i) 'General Supply' refers to electricity used from the grid in residential properties excluding controlled load (off peak) hot water.,,,,,,,,,,,,,,,,
ii) 'Off peak hot water' refers primarily to controlled load residential usage primarily from storage hot water systems.,,,,,,,,,,,,,,,,
iii) 'Non-residential small-medium sites' refers to non-residential customers supplied at low voltage with annual usage from the grid typically less than 160 MWh per year.,,,,,,,,,,,,,,,,
iv) 'Non-residential large sites' refer to non-residential customers supplied at low voltage with annual usage from the grid typically greater than 160 MWh per year.,,,,,,,,,,,,,,,,
"3. Unmetered supply consumption is for the street lighting for each local council, with other unmetered supplies allocated to ""Not assigned"" (eg. major road and other unmetered supplies)",,,,,,,,,,,,,,,,
"4. ""Not assigned"" customers are customers outside the 32 Local Government Areas listed",,,,,,,,,,,,,,,,
"5. ""High voltage customers"" are large non-residential customers connected at 11 kV or greater (eg. large industry, mining, transport infrastructure, utility infrastructure, some large universities and hospitals).",,,,,,,,,,,,,,,,
We have chosen not to release the information for high voltage customers by LGA due to confidentiality concerns,,,,,,,,,,,,,,,,
6. Customer numbers are the average number of customers over the financial year.,,,,,,,,,,,,,,,,
7. Solar energy generation is the total electricity exported to the grid from small solar power systems as recorded by electricity meters. The total includes electricity exported from both gross and net metered solar power systems. ,,,,,,,,,,,,,,,,
Note that this total does not include the solar power used directly within homes with a net metering arrangement.,,,,,,,,,,,,,,,,
8. Number of solar customers and solar panel capacity are figures recorded as connected by Ausgrid as at 30 June 2018.,,,,,,,,,,,,,,,,
9. Year to year changes are strongly influenced by weather.  Data has not been corrected for weather variations or other factors.,,,,,,,,,,,,,,,,
10. Data should be used with caution when comparing with ABS data or other external data sources.  Contact Ausgrid for assistance in interpreting data.,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
For further information please email: sharinginformation@ausgrid.com.au,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
