,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Region,Local Government Area,Residential ,,,,,,Solar ,,,,,"Non-residential small-medium sites
(0-160 MWh pa)",,"Non-residential large sites
(>160 MWh pa)",,Unmetered supply (eg. street lighting),,,,,,
,LANE COVE,15.5," 88,120 "," 4,203 "," 92,323 "," 2,323 "," 16,350 "," 1,001 ", 44 ," 4,439 ", 807 ," 2,233 "," 34,769 "," 1,555 "," 59,379 ", 135 ," 1,131 ",,,,,,
,MOSMAN,18.0," 88,281 "," 3,897 "," 92,177 "," 1,915 "," 14,064 ", 580 , 23 ," 2,842 ", 372 ," 1,289 "," 20,820 "," 1,213 "," 16,502 ", 52 , 898 ,,,,,,
,NORTH SYDNEY,11.7," 164,683 "," 5,107 "," 169,790 "," 2,825 "," 39,654 ", 581 , 67 ," 2,281 "," 1,286 "," 1,290 "," 124,810 "," 6,143 "," 189,370 ", 374 ," 1,841 ",,,,,,
,NORTHERN BEACHES*,16.0," 563,225 "," 61,731 "," 624,956 "," 31,937 "," 106,979 "," 9,414 ", 342 ," 38,716 "," 7,488 "," 21,566 "," 192,443 "," 11,142 "," 295,043 ", 517 ," 7,577 ",,,,,,
,PARRAMATTA**,11.4," 78,614 "," 5,570 "," 84,183 "," 2,514 "," 20,201 "," 2,028 ", 115 ," 4,391 "," 4,381 "," 2,798 "," 55,328 "," 1,730 "," 271,294 ", 337 ," 1,015 ",,,,,,
,RANDWICK,12.6," 267,170 "," 18,538 "," 285,708 "," 10,137 "," 61,931 "," 2,680 ", 126 ," 10,827 "," 3,297 "," 6,933 "," 74,103 "," 3,533 "," 176,486 ", 246 ," 5,049 ",,,,,,
,RYDE,13.8," 233,141 "," 20,663 "," 253,804 "," 10,209 "," 50,513 "," 3,481 ", 113 ," 13,544 "," 3,086 "," 7,616 "," 107,998 "," 4,177 "," 406,444 ", 553 ," 3,935 ",,,,,,
,STRATHFIELD,14.2," 78,334 "," 4,142 "," 82,476 "," 2,214 "," 15,864 ", 859 , 64 ," 3,603 "," 5,408 "," 2,198 "," 40,033 "," 1,587 "," 114,356 ", 186 ," 1,385 ",,,,,,
,SUTHERLAND,18.9," 508,842 "," 105,888 "," 614,729 "," 42,389 "," 89,128 "," 9,255 ", 277 ," 39,955 "," 6,024 "," 24,078 "," 136,435 "," 8,007 "," 218,620 ", 363 ," 6,480 ",,,,,,
,SYDNEY,10.0," 403,913 "," 8,561 "," 412,474 "," 4,927 "," 113,314 "," 1,100 ", 408 ," 3,618 "," 9,576 "," 3,319 "," 699,108 "," 31,035 "," 2,013,802 "," 2,699 "," 9,529 ",,,,,,
,WAVERLEY,13.0," 158,137 "," 4,784 "," 162,921 "," 3,229 "," 34,303 "," 1,083 ", 60 ," 4,469 "," 1,214 "," 2,604 "," 51,176 "," 2,721 "," 101,197 ", 161 ," 1,624 ",,,,,,
,WILLOUGHBY,14.9," 161,838 "," 7,989 "," 169,826 "," 4,672 "," 31,313 "," 2,032 ", 122 ," 8,627 "," 2,437 "," 5,120 "," 107,076 "," 5,026 "," 262,893 ", 343 ," 1,998 ",,,,,,
,WOOLLAHRA,18.9," 185,504 "," 7,610 "," 193,114 "," 3,986 "," 28,007 ", 702 , 48 ," 3,769 ", 660 ," 1,646 "," 50,558 "," 2,874 "," 48,445 ", 108 ," 2,602 ",,,,,,
,Sub-total (Low Voltage),14.9," 5,526,475 "," 524,427 "," 6,050,899 "," 251,728 "," 1,142,280 "," 73,363 "," 3,733 "," 288,355 "," 95,927 "," 173,059 "," 2,579,778 "," 127,051 "," 5,888,121 "," 8,966 "," 87,741 ",,,,,,
,Non-Res (High Voltage),,,,,,,,,,,,,," 3,247,949 ", 264 ,,,,,,,
Central Coast and Hunter LGAs,CENTRAL COAST*,16.4," 740,013 "," 171,827 "," 911,841 "," 80,967 "," 152,054 "," 23,843 ", 764 ," 95,305 "," 22,654 "," 64,508 "," 205,419 "," 11,916 "," 511,600 ", 720 ," 12,349 ",,,,,,
,CESSNOCK,18.3," 143,766 "," 21,633 "," 165,399 "," 10,702 "," 24,761 "," 5,117 ", 240 ," 25,372 "," 10,670 "," 17,479 "," 38,371 "," 1,804 "," 71,589 ", 135 ," 2,156 ",,,,,,
,LAKE MACQUARIE,17.0," 431,483 "," 103,986 "," 535,469 "," 53,325 "," 86,467 "," 16,858 ", 467 ," 71,202 "," 10,350 "," 48,976 "," 114,994 "," 6,673 "," 182,208 ", 388 ," 5,388 ",,,,,,
,MAITLAND,17.4," 186,509 "," 26,372 "," 212,881 "," 13,102 "," 33,584 "," 6,981 ", 234 ," 33,511 "," 7,002 "," 23,975 "," 57,758 "," 2,904 "," 92,526 ", 179 ," 3,525 ",,,,,,
,MUSWELLBROOK,21.2," 45,972 "," 10,090 "," 56,062 "," 4,432 "," 7,238 "," 1,075 ", 79 ," 5,559 "," 1,496 "," 4,469 "," 34,282 "," 1,346 "," 23,641 ", 57 , 910 ,,,,,,
,NEWCASTLE,13.7," 310,556 "," 52,335 "," 362,891 "," 29,934 "," 72,361 "," 9,502 ", 474 ," 36,451 "," 17,629 "," 30,682 "," 158,203 "," 7,910 "," 267,042 ", 508 ," 6,591 ",,,,,,
,PORT STEPHENS,16.7," 166,628 "," 44,581 "," 211,209 "," 23,493 "," 34,551 "," 6,873 ", 202 ," 29,920 "," 5,158 "," 21,711 "," 52,047 "," 2,945 "," 92,560 ", 193 ," 2,072 ",,,,,,
,SINGLETON,22.3," 66,958 "," 13,480 "," 80,438 "," 6,088 "," 9,870 "," 2,076 ", 124 ," 11,412 "," 4,980 "," 8,847 "," 34,645 "," 1,671 "," 45,571 ", 93 , 804 ,,,,,,
,UPPER HUNTER,21.0," 36,709 "," 7,493 "," 44,202 "," 3,520 "," 5,756 "," 1,004 ", 103 ," 5,439 "," 1,776 "," 4,610 "," 24,176 "," 1,240 "," 10,388 ", 33 , 549 ,,,,,,
,Sub-total (Low Voltage),18.2," 2,128,594 "," 451,797 "," 2,580,392 "," 225,563 "," 426,642 "," 73,329 "," 2,687 "," 314,171 "," 81,715 "," 225,257 "," 719,895 "," 38,409 "," 1,297,125 "," 2,306 "," 34,344 ",,,,,,
,Non-Res (High Voltage),,,,,,,,,,,,,," 2,409,624 ", 179 ,,,,,,,
Not assigned,,, 782 , 110 , 892 , 40 , 103 , 12 , 1 , 38 , 37 , 25 ," 1,638 ", 51 , 906 , 3 ," 62,881 ",,,,,,
Total,,15.1," 7,655,851 "," 976,334 "," 8,632,183 "," 477,331 "," 1,569,025 "," 146,704 "," 6,421 "," 602,564 "," 177,679 "," 398,341 "," 3,301,311 "," 165,511 "," 12,843,725 "," 11,718 "," 184,966 ",,,,,,
Council boundaries and amalgamations,,,,,,,,,,,,,,,,,,,,,,,
*During 2016-17 some local councils were amalgamated or changed boundaries including; ,,,,,,,,,,,,,,,,,,,,,,,
a) Auburn council was amalgamated into either Cumberland or Parramatta LGAs ,,,,,,,,,,,,,,,,,,,,,,,
"b) Amalgamation of previous councils into: Bayside, Canterbury-Bankstown, Central Coast, Georges River, Inner West and Northern Beaches",,,,,,,,,,,,,,,,,,,,,,,
c) Part of Hornsby was amalgamated into Parramatta Council,,,,,,,,,,,,,,,,,,,,,,,
**Customers in the Cumberland and Parramatta councils are served by Ausgrid or Endeavour Energy depending on their specific location. This report only includes those customers in Ausgrid's network area,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Electricity usage notes,,,,,,,,,,,,,,,,,,,,,,,
"1. Electricity use data is for the 2019-20 financial year is based on network bills issued up until February 2021 for homes, businesses and other customers in our network area.",,,,,,,,,,,,,,,,,,,,,,,
2. Electricity use data for all metered low voltage customers has been split into four categories:,,,,,,,,,,,,,,,,,,,,,,,
i) 'General Supply' refers to electricity used from the grid in residential properties excluding controlled load (off peak) hot water.,,,,,,,,,,,,,,,,,,,,,,,
ii) 'Off peak hot water' refers primarily to controlled load residential usage primarily from storage hot water systems.,,,,,,,,,,,,,,,,,,,,,,,
iii) 'Non-residential small-medium sites' refers to non-residential customers supplied at low voltage with annual usage from the grid typically less than 160 MWh per year as determined from network tariff assignment,,,,,,,,,,,,,,,,,,,,,,,
iv) 'Non-residential large sites' refer to non-residential customers supplied at low voltage with annual usage from the grid typically greater than 160 MWh per year as determned from network tariff assignment,,,,,,,,,,,,,,,,,,,,,,,
"3. Unmetered supply consumption is for the street lighting for each local council, with other unmetered supplies allocated to ""Not assigned"" (eg. major road and other unmetered supplies)",,,,,,,,,,,,,,,,,,,,,,,
"4. ""Not assigned"" customers are customers outside the 32 Local Government Areas listed",,,,,,,,,,,,,,,,,,,,,,,
"5. ""High voltage customers"" are large non-residential customers connected at 11 kV or greater (eg. large industry, mining, transport infrastructure, utility infrastructure, some large universities and hospitals).",,,,,,,,,,,,,,,,,,,,,,,
Note: We have chosen not to release the information for high voltage customers by LGA due to confidentiality concerns,,,,,,,,,,,,,,,,,,,,,,,
6. Customer numbers are the average number of customers over the financial year.,,,,,,,,,,,,,,,,,,,,,,,
7. Solar energy generation is the total electricity exported to the grid from small solar power systems as recorded by electricity meters. The total includes electricity exported from both gross and net metered solar power systems. ,,,,,,,,,,,,,,,,,,,,,,,
Note: this total does not include the solar power used directly within homes with a net metering arrangement.,,,,,,,,,,,,,,,,,,,,,,,
8. Number of solar customers and solar panel capacity are figures recorded as connected by Ausgrid as at 30 June 2020 and information is derived from customer connection applications for embedded generation systems. ,,,,,,,,,,,,,,,,,,,,,,,
9. Year to year changes are strongly influenced by weather and other factors such as the COVID pandemic effects on business energy consumption.  Data has not been corrected for weather variations or other factors.,,,,,,,,,,,,,,,,,,,,,,,
10. Data should be used with caution when comparing with ABS data or other external data sources.  Contact Ausgrid for assistance in interpreting data.,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
For further information please email: sharinginformation@ausgrid.com.au,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
