,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Local Government Area,Average Household Consumption (kWh per customer per day),,,,,Residential Totals,,,,,Solar ,,,"Non-residential small sites
(0-160 MWh pa)",,"Non-residential med-large sites
(>160 MWh pa)",
,Jul-Sep 2014,Oct-Dec 2014,Jan-Mar 2015,Apr-Jun 2015,Annual 2014-15,General Supply (MWh),Off Peak Hot Water (MWh),Total (MWh),No of Off Peak Customers,Total number of Customers,Number of solar customers,Generation capacity (kWp),Energy exported to the grid (MWh),MWh,Number of Customers,MWh,Number of Customers
PITTWATER, 21.2 , 16.3 , 16.9 , 19.4 ,18.5," 150,611 "," 19,431 "," 170,042 "," 8,992 "," 25,214 "," 1,539 "," 4,108 "," 3,374 "," 48,277 "," 3,061 "," 57,485 ", 119 
PORT STEPHENS, 19.7 , 15.8 , 16.7 , 17.2 ,17.4," 156,930 "," 47,641 "," 204,572 "," 23,714 "," 32,290 "," 3,843 "," 10,264 "," 8,764 "," 51,249 "," 2,949 "," 101,738 ", 217 
RANDWICK, 15.5 , 11.6 , 11.8 , 14.3 ,13.3," 271,037 "," 23,481 "," 294,518 "," 11,061 "," 60,571 "," 1,612 "," 4,269 "," 3,454 "," 75,424 "," 3,607 "," 198,890 ", 302 
ROCKDALE, 14.7 , 12.4 , 12.0 , 14.8 ,13.5," 184,484 "," 26,617 "," 211,101 "," 13,027 "," 42,925 "," 1,605 "," 3,837 "," 3,071 "," 57,903 "," 3,062 "," 83,332 ", 192 
RYDE, 17.2 , 13.2 , 13.6 , 15.5 ,14.9," 220,824 "," 25,418 "," 246,243 "," 11,293 "," 45,333 "," 2,335 "," 5,587 "," 4,300 "," 110,822 "," 4,415 "," 452,832 ", 624 
SINGLETON, 24.3 , 21.6 , 22.1 , 22.7 ,22.7," 63,842 "," 14,819 "," 78,662 "," 6,144 "," 9,505 "," 1,132 "," 4,224 "," 3,558 "," 29,656 "," 1,746 "," 52,348 ", 112 
STRATHFIELD, 17.5 , 13.6 , 13.9 , 16.2 ,15.3," 73,372 "," 5,426 "," 78,798 "," 2,489 "," 14,090 ", 600 ," 1,630 "," 1,181 "," 36,471 "," 1,548 "," 124,423 ", 177 
SUTHERLAND, 22.3 , 18.1 , 18.0 , 21.5 ,20.0," 509,034 "," 117,958 "," 626,992 "," 44,117 "," 86,048 "," 5,400 "," 13,960 "," 11,263 "," 141,120 "," 7,374 "," 238,891 ", 393 
SYDNEY, 11.5 , 9.7 , 9.8 , 11.2 ,10.6," 391,506 "," 10,497 "," 402,003 "," 5,131 "," 104,311 ", 778 ," 2,254 "," 1,480 "," 748,242 "," 31,104 "," 2,468,624 "," 3,288 "
UPPER HUNTER, 22.5 , 20.6 , 19.3 , 22.1 ,21.1," 34,401 "," 8,308 "," 42,709 "," 3,513 "," 5,533 ", 495 ," 1,880 "," 1,689 "," 24,681 "," 1,309 "," 16,771 ", 46 
WARRINGAH, 17.5 , 14.9 , 14.5 , 17.9 ,16.2," 305,981 "," 43,524 "," 349,504 "," 19,916 "," 59,055 "," 3,729 "," 9,650 "," 8,022 "," 126,397 "," 6,626 "," 215,346 ", 373 
WAVERLEY, 15.0 , 12.3 , 12.1 , 14.9 ,13.6," 159,199 "," 6,606 "," 165,805 "," 3,678 "," 33,434 ", 625 ," 1,638 "," 1,239 "," 68,078 "," 3,464 "," 100,018 ", 175 
WILLOUGHBY, 18.9 , 13.3 , 13.9 , 16.7 ,15.7," 161,345 "," 10,334 "," 171,680 "," 5,263 "," 29,966 "," 1,239 "," 3,328 "," 2,494 "," 125,433 "," 5,231 "," 301,217 ", 429 
WOOLLAHRA, 21.3 , 18.1 , 17.5 , 22.0 ,19.7," 188,205 "," 10,387 "," 198,592 "," 4,358 "," 27,570 ", 374 ," 1,218 ", 865 ," 57,507 "," 3,027 "," 53,299 ", 130 
WYONG, 18.1 , 15.7 , 15.2 , 18.0 ,16.7," 333,907 "," 78,457 "," 412,364 "," 35,948 "," 67,464 "," 7,416 "," 18,113 "," 13,993 "," 94,586 "," 5,181 "," 254,739 ", 353 
Total, 17.5 , 14.4 , 14.4 , 16.9 ,15.8," 7,421,316 "," 1,106,604 "," 8,527,920 "," 499,054 "," 1,477,090 "," 88,965 "," 229,975 "," 183,496 "," 3,500,752 "," 167,452 "," 8,190,107 "," 12,944 "
,,,,,,,,,,,,,,,,,
Notes:,,,,,,,,,,,,,,,,,
"1. Electricity use data is from billing data to Oct, 2015 for homes, businesses and other customers in our network area.",,,,,,,,,,,,,,,,,
"2. Electricity use data does not include high voltage customers and supply to services such as public lighting and bus shelters, or customers outside these 39 Local Government Areas",,,,,,,,,,,,,,,,,
3. Electricity use data has been split into four categories:,,,,,,,,,,,,,,,,,
i) 'General Supply' refers to electricity used from the grid in residential properties excluding controlled load (off peak) hot water.,,,,,,,,,,,,,,,,,
ii) 'Off peak hot water' refers primarily to controlled load residential usage primarily from storage hot water systems.,,,,,,,,,,,,,,,,,
iii) 'Non-residential small sites' refers to non-residential customers supplied at low voltage with annual usage from the grid typically less than 160 MWh per year.,,,,,,,,,,,,,,,,,
iv) 'Non-residential medium-large sites' refer to non-residential customers supplied at low voltage with annual usage from the grid typically greater than 160 MWh per year.,,,,,,,,,,,,,,,,,
4. Customer numbers are the average number of customers over the financial year.,,,,,,,,,,,,,,,,,
5. Solar energy generation is the total electricity exported to the grid from small solar power systems as recorded by electricity meters. The total includes electricity exported from both gross and net metered solar power systems. ,,,,,,,,,,,,,,,,,
Note that this total does not include the solar power used directly within homes with a net metering arrangement.,,,,,,,,,,,,,,,,,
6. Number of solar customers and solar panel capacity are figures recorded as connected by Ausgrid as at 30 June 2015.,,,,,,,,,,,,,,,,,
7. Year to year changes are strongly influenced by weather.  Data has not been corrected for weather variations or other factors.,,,,,,,,,,,,,,,,,
8. Data should be used with caution when comparing with ABS data or other external data sources.  Contact Ausgrid for assistance in interpreting data.,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
"For further advice or assistance with interpreting this data, contact us at sharinginformation@ausgrid.com.au",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
