,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Local Government Area,Residential ,,,,,,Solar ,,,,,"Non-residential small-medium sites
(0-160 MWh pa)",,"Non-residential large sites
(>160 MWh pa)",,Unmetered supply (eg. street lighting),
KU-RING-GAI,23.3," 333,938 "," 36,749 "," 370,687 "," 15,723 "," 43,562 "," 2,741 ", 70 ," 8,475 ", 882 ," 5,120 "," 57,744 "," 2,619 "," 96,113 ", 175 ," 4,365 ",
LAKE MACQUARIE,17.9," 435,783 "," 107,728 "," 543,511 "," 54,139 "," 83,415 "," 11,058 ", 309 ," 30,699 "," 4,981 "," 25,133 "," 120,799 "," 6,455 "," 205,383 ", 407 ," 5,734 ",
LANE COVE,16.6," 87,738 "," 4,848 "," 92,587 "," 2,531 "," 15,268 ", 664 , 35 ," 2,008 ", 367 ," 1,241 "," 36,942 "," 1,522 "," 66,926 ", 155 ," 1,467 ",
MAITLAND,18.7," 185,285 "," 28,097 "," 213,382 "," 13,311 "," 31,215 "," 3,966 ", 142 ," 12,054 "," 2,286 "," 9,555 "," 59,391 "," 2,894 "," 92,100 ", 196 ," 3,532 ",
MOSMAN,18.4," 89,569 "," 4,443 "," 94,012 "," 2,032 "," 14,030 ", 362 , 20 ," 1,196 ", 155 , 757 ," 22,664 "," 1,231 "," 19,244 ", 64 , 997 ,
MUSWELLBROOK,21.9," 47,720 "," 10,333 "," 58,052 "," 4,492 "," 7,252 ", 686 , 59 ," 2,651 ", 878 ," 2,373 "," 30,211 "," 1,348 "," 26,925 ", 75 , 934 ,
NEWCASTLE,14.3," 313,018 "," 55,725 "," 368,743 "," 30,805 "," 70,509 "," 6,600 ", 324 ," 17,189 "," 4,907 "," 15,267 "," 169,757 "," 7,774 "," 289,830 ", 566 ," 8,130 ",
NORTH SYDNEY,11.9," 163,674 "," 5,743 "," 169,417 "," 2,970 "," 38,914 ", 383 , 60 ," 1,039 ", 984 , 787 ," 143,467 "," 6,311 "," 212,432 ", 428 ," 2,104 ",
NORTHERN BEACHES*,16.4," 562,962 "," 67,712 "," 630,674 "," 33,251 "," 105,181 "," 6,667 ", 224 ," 18,928 "," 3,233 "," 14,174 "," 211,693 "," 11,234 "," 322,532 ", 552 ," 10,205 ",
PARRAMATTA**,12.7," 72,016 "," 6,022 "," 78,038 "," 2,627 "," 16,818 "," 1,809 ", 88 ," 2,548 "," 1,576 "," 1,725 "," 58,897 "," 1,726 "," 287,311 ", 318 , 600 ,
PORT STEPHENS,17.8," 169,421 "," 46,757 "," 216,178 "," 23,729 "," 33,346 "," 4,414 ", 128 ," 12,783 "," 2,375 "," 10,393 "," 53,777 "," 2,935 "," 103,781 ", 204 ," 2,348 ",
RANDWICK,13.1," 271,944 "," 21,584 "," 293,527 "," 10,775 "," 61,518 "," 1,814 ", 86 ," 5,084 ", 837 ," 4,016 "," 77,697 "," 3,465 "," 196,026 ", 278 ," 6,617 ",
RYDE,14.7," 231,969 "," 23,250 "," 255,220 "," 10,891 "," 47,713 "," 2,525 ", 88 ," 6,584 "," 1,219 "," 4,749 "," 115,759 "," 4,448 "," 444,266 ", 612 ," 4,246 ",
SINGLETON,23.9," 70,209 "," 14,410 "," 84,620 "," 6,166 "," 9,687 "," 1,270 ", 75 ," 4,913 "," 1,273 "," 4,015 "," 31,935 "," 1,694 "," 50,242 ", 103 , 867 ,
STRATHFIELD,14.8," 77,597 "," 4,777 "," 82,373 "," 2,395 "," 15,208 ", 641 , 40 ," 1,815 ", 714 ," 1,318 "," 38,513 "," 1,554 "," 124,845 ", 179 ," 1,612 ",
SUTHERLAND,19.8," 516,586 "," 112,234 "," 628,820 "," 43,591 "," 86,846 "," 6,146 ", 202 ," 17,137 "," 2,638 "," 12,861 "," 143,490 "," 7,466 "," 246,160 ", 372 ," 7,874 ",
SYDNEY,10.4," 405,503 "," 9,774 "," 415,278 "," 5,102 "," 109,526 ", 776 , 490 ," 1,924 "," 6,014 "," 1,849 "," 771,729 "," 31,411 "," 2,321,731 "," 3,078 "," 10,591 ",
UPPER HUNTER,21.9," 37,246 "," 8,141 "," 45,386 "," 3,551 "," 5,673 ", 597 , 75 ," 2,322 ", 944 ," 2,028 "," 24,446 "," 1,261 "," 13,164 ", 44 , 536 ,
WAVERLEY,13.3," 159,598 "," 5,826 "," 165,425 "," 3,520 "," 34,204 ", 726 , 46 ," 2,035 ", 535 ," 1,577 "," 64,697 "," 3,214 "," 105,802 ", 182 ," 1,934 ",
WILLOUGHBY,15.5," 164,958 "," 9,290 "," 174,248 "," 5,092 "," 30,747 "," 1,383 ", 80 ," 3,924 "," 1,041 "," 2,794 "," 120,913 "," 4,979 "," 293,361 ", 388 ," 2,413 ",
WOOLLAHRA,19.4," 187,078 "," 9,150 "," 196,228 "," 4,241 "," 27,774 ", 471 , 43 ," 1,775 ", 437 ," 1,003 "," 57,119 "," 2,934 "," 53,273 ", 118 ," 2,732 ",
Not assigned,, 847 , 113 , 960 , 47 , 104 , 10 , 1 , 26 , 20 , 66 ," 1,998 ", 76 ," 8,793 ", 13 ," 50,925 ",
High voltage customers,,,,,,,,,,,,,," 5,219,582 ", 394 ,,
Total,15.7," 7,696,982 "," 1,047,851 "," 8,744,833 "," 492,265 "," 1,521,699 "," 100,745 "," 4,607 "," 275,857 "," 69,893 "," 214,375 "," 3,573,213 "," 165,956 "," 13,187,622 "," 12,693 "," 190,168 ",
Council boundaries and amalgamations,,,,,,,,,,,,,,,,,
*During 2016-17 some local councils were amalgamated or changed boundaries including; ,,,,,,,,,,,,,,,,,
a) Auburn council was amalgamated into either Cumberland or Parramatta LGAs ,,,,,,,,,,,,,,,,,
"b) Amalgamation of previous councils into: Bayside, Canterbury-Bankstown, Central Coast, Georges River, Inner West and Northern Beaches",,,,,,,,,,,,,,,,,
c) Part of Hornsby was amalgamated into Parramatta Council,,,,,,,,,,,,,,,,,
**Customers in the Cumberland and Parramatta councils are served by Ausgrid or Endeavour Energy depending on their specific location. This report only includes those customers in Ausgrid's network area,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Electricity usage notes,,,,,,,,,,,,,,,,,
"1. Electricity use data is for the 2016-17 financial year based on network bills issued up until November 2017 for homes, businesses and other customers in our network area.",,,,,,,,,,,,,,,,,
2. Electricity use data for all metered low voltage customers has been split into four categories:,,,,,,,,,,,,,,,,,
i) 'General Supply' refers to electricity used from the grid in residential properties excluding controlled load (off peak) hot water.,,,,,,,,,,,,,,,,,
ii) 'Off peak hot water' refers primarily to controlled load residential usage primarily from storage hot water systems.,,,,,,,,,,,,,,,,,
iii) 'Non-residential small-medium sites' refers to non-residential customers supplied at low voltage with annual usage from the grid typically less than 160 MWh per year.,,,,,,,,,,,,,,,,,
iv) 'Non-residential large sites' refer to non-residential customers supplied at low voltage with annual usage from the grid typically greater than 160 MWh per year.,,,,,,,,,,,,,,,,,
"3. Unmetered supply consumption is for the street lighting for each local council, with other unmetered supplies allocated to ""Not assigned"" (eg. major road and other unmetered supplies)",,,,,,,,,,,,,,,,,
"4. ""Not assigned"" customers are customers outside the 32 Local Government Areas listed",,,,,,,,,,,,,,,,,
"5. ""High voltage customers"" are large non-residential customers connected at 11 kV or greater (eg. large industry, mining, transport infrastructure, utility infrastructure, some large universities and hospitals).",,,,,,,,,,,,,,,,,
We have chosen not to release the information for high voltage customers by LGA due to confidentiality concerns,,,,,,,,,,,,,,,,,
6. Customer numbers are the average number of customers over the financial year.,,,,,,,,,,,,,,,,,
7. Solar energy generation is the total electricity exported to the grid from small solar power systems as recorded by electricity meters. The total includes electricity exported from both gross and net metered solar power systems. ,,,,,,,,,,,,,,,,,
Note that this total does not include the solar power used directly within homes with a net metering arrangement.,,,,,,,,,,,,,,,,,
8. Number of solar customers and solar panel capacity are figures recorded as connected by Ausgrid as at 30 June 2017.,,,,,,,,,,,,,,,,,
9. Year to year changes are strongly influenced by weather.  Data has not been corrected for weather variations or other factors.,,,,,,,,,,,,,,,,,
10. Data should be used with caution when comparing with ABS data or other external data sources.  Contact Ausgrid for assistance in interpreting data.,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
For further information please email: sharinginformation@ausgrid.com.au,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
